Month and Year,Month,Enplaned,Deplaned,Transfer,Originating,Destination,Concession,Parking,Rental Car,Ground,Origin + Destin,UMCSENTLag2,Cannabis?,UMCSENT,UMCSENTLag1,UMCSENTLag3,Parking Lag1,Parking Lag2,Parking Lag3,Total Revenue,Monthly Real GDP Index
12-Jan,Jan,1966776,1938362,1780281,1085973,1038884,3591671,9678176,2670334,434260,2124857,,no hype,75,,,,,,16374441,16028.572
12-Feb,Feb,1874278,1884741,1708859,1031341,1018819,3369432,9819409,2699548,377700,2050160,,no hype,75.3,75,,9678176,,,16266089,16267.953
12-Mar,Mar,2247252,2210792,1822664,1331306,1304074,3698607,11429424,3049904,509457,2635380,75,no hype,76.2,75.3,,9819409,9678176,,18687392,16091.657
12-Apr,Apr,2068091,2069668,1912797,1118215,1106747,3581291,11334077,2424599,525465,2224962,75.3,no hype,76.4,76.2,75,11429424,9819409,9678176,17865432,16182.009
12-May,May,2277760,2254178,2061760,1252769,1217409,3679780,11512100,2570343,442073,2470178,76.2,no hype,79.3,76.4,75.3,11334077,11429424,9819409,18204296,16222.350
12-Jun,Jun,2391685,2426512,2086398,1357841,1373958,3935259,11833366,3122553,353473,2731799,76.4,no hype,73.2,79.3,76.2,11512100,11334077,11429424,19244651,16192.038
12-Jul,Jul,2542312,2547189,2201425,1451117,1436959,4177290,10976614,4251575,492983,2888076,79.3,no hype,72.3,73.2,76.4,11833366,11512100,11334077,19898462,16262.838
12-Aug,Aug,2536837,2546681,2265845,1412173,1405500,4039993,11322704,4650135,468908,2817673,73.2,no hype,74.3,72.3,79.3,10976614,11833366,11512100,20481740,16177.089
12-Sep,Sep,2199542,2179507,2030697,1189458,1158894,3545086,10671328,2918345,456854,2348352,72.3,no hype,78.3,74.3,73.2,11322704,10976614,11833366,17591613,16222.085
12-Oct,Oct,2265615,2239938,2068797,1237738,1199018,3769996,12327459,2599231,524540,2436756,74.3,no hype,82.6,78.3,72.3,10671328,11322704,10976614,19221226,16157.217
12-Nov,Nov,2090178,2089624,1823738,1183955,1172109,3512194,11057412,2841782,385520,2356064,78.3,no hype,82.7,82.6,74.3,12327459,10671328,11322704,17796908,16234.228
12-Dec,Dec,2136815,2171945,1894468,1198384,1215908,3889141,10017019,2600753,510142,2414292,82.6,no hype,72.9,82.7,78.3,11057412,12327459,10671328,17017055,16326.048
13-Jan,Jan,2020021,2004762,1741133,1156298,1127352,3351681,10915285,3013346,471021,2283650,82.7,no hype,73.8,72.9,82.6,10017019,11057412,12327459,17751333,16454.113
13-Feb,Feb,1847946,1849151,1535255,1086357,1075485,3483432,11219272,3136449,439539,2161842,72.9,no hype,77.6,73.8,82.7,10915285,10017019,11057412,18278692,16316.633
13-Mar,Mar,2244014,2212417,1843068,1329086,1284277,3658253,13141586,3533575,526462,2613363,73.8,no hype,78.6,77.6,72.9,11219272,10915285,10017019,20859876,16378.391
13-Apr,Apr,2021717,2009823,1752327,1150485,1128728,3674433,13313302,2700398,508183,2279213,77.6,no hype,76.4,78.6,73.8,13141586,11219272,10915285,20196316,16390.280
13-May,May,2244144,2226020,1888256,1303903,1278005,4227263,13568566,2692262,540953,2581908,78.6,no hype,84.5,76.4,77.6,13313302,13141586,11219272,21029044,16360.888
13-Jun,Jun,2342564,2373745,1865489,1416131,1434689,3889842,13528482,3487253,520178,2850820,76.4,no hype,84.1,84.5,78.6,13568566,13313302,13141586,21425755,16458.591
13-Jul,Jul,2473173,2485904,1958123,1499608,1501346,4273292,12849903,4729961,640913,3000954,84.5,no hype,85.1,84.1,76.4,13528482,13568566,13313302,22494069,16490.992
13-Aug,Aug,2401088,2426854,1998543,1406929,1422470,4447764,11625861,4965025,569730,2829399,84.1,no hype,82.1,85.1,84.5,12849903,13528482,13568566,21608380,16554.348
13-Sep,Sep,2189528,2156974,1905668,1240131,1200703,3628570,14470384,3459106,591996,2440834,85.1,no hype,77.5,82.1,84.1,11625861,12849903,13528482,22150056,16549.954
13-Oct,Oct,2250681,2226197,1992541,1258303,1226034,4077625,13972548,2832491,484220,2484337,82.1,no hype,73.2,77.5,85.1,14470384,11625861,12849903,21366884,16627.404
13-Nov,Nov,2021912,2011409,1727238,1162219,1143864,3980585,11949571,2691419,557618,2306083,77.5,no hype,75.1,73.2,82.1,13972548,14470384,11625861,19179193,16701.154
13-Dec,Dec,2228519,2287796,1833364,1318919,1364032,3948225,12613314,2925484,571705,2682951,73.2,no hype,82.5,75.1,77.5,11949571,13972548,14470384,20058728,16662.644
14-Jan,Jan,2033035,2023823,1654519,1211922,1190417,3857688,11358944,3691138,550251,2402339,75.1,hype,81.2,82.5,73.2,12613314,11949571,13972548,19458021,16556.639
14-Feb,Feb,1886251,1893464,1534678,1124186,1120851,3683849,11586413,3781988,525229,2245037,82.5,hype,81.6,81.2,75.1,11358944,12613314,11949571,19577479,16639.841
14-Mar,Mar,2301029,2243335,1759791,1425434,1359139,3916497,13596864,4492821,640710,2784573,81.2,hype,80,81.6,82.5,11586413,11358944,12613314,22646892,16653.419
14-Apr,Apr,2078022,2083793,1769599,1195814,1196402,3978769,13000530,3110682,584543,2392216,81.6,hype,84.1,80,81.2,13596864,11586413,11358944,20674524,16779.753
